# timestamps [seconds],pts
448965.901458,541041
448965.909527,541570
448965.917596,542099
448965.925665,542628
448965.933734,543156
448965.941803,543685
448965.949873,544214
448965.957942,544743
448965.966011,545272
448965.974080,545800
448965.982149,546329
448965.990218,546858
448965.998288,547387
448966.006357,547916
448966.014426,548445
448966.022495,548973
448966.030564,549502
448966.038633,550031
448966.046703,550560
448966.054772,551089
448966.062841,551617
448966.070910,552146
448966.078979,552675
448966.087048,553204
448966.095118,553733
448966.103187,554261
448966.111256,554790
448966.119325,555319
448966.127394,555848
448966.135463,556377
448966.143533,556906
448966.151602,557434
448966.159671,557963
448966.167740,558492
448966.175809,559021
448966.183878,559550
448966.191948,560078
448966.200017,560607
448966.208086,561136
448966.216155,561665
448966.224224,562194
448966.232293,562722
448966.240363,563251
448966.248432,563780
448966.256501,564309
448966.264570,564838
448966.272639,565367
448966.280708,565895
448966.288777,566424
448966.296847,566953
448966.304916,567482
448966.312985,568011
448966.321054,568539
448966.329123,569068
448966.337193,569597
448966.345262,570126
448966.353331,570655
448966.361400,571183
448966.369469,571712
448966.377538,572241
448966.385607,572770
448966.393677,573299
448966.401746,573828
448966.409815,574356
448966.417884,574885
448966.425953,575414
448966.434022,575943
448966.442092,576472
448966.450161,577000
448966.458230,577529
448966.466299,578058
448966.474368,578587
448966.482437,579116
448966.490507,579645
448966.498576,580173
448966.506645,580702
448966.514714,581231
448966.522783,581760
448966.530852,582289
448966.538922,582817
448966.546991,583346
448966.555060,583875
448966.563129,584404
448966.571198,584933
448966.579267,585461
448966.587337,585990
448966.595406,586519
448966.603475,587048
448966.611544,587577
448966.619613,588105
448966.627682,588634
448966.635751,589163
448966.651890,590221
448966.659959,590750
448966.668028,591278
448966.676097,591807
448966.692236,592865
448966.700305,593394
448966.708374,593922
448966.716443,594451
448966.724512,594980
448966.740651,596038
448966.748720,596567
448966.756789,597095
448966.764858,597624
448966.772927,598153
448966.780996,598682
448966.789066,599211
448966.797135,599739
448966.805204,600268
448966.813273,600797
448966.821342,601326
448966.829411,601855
448966.837481,602383
448966.845550,602912
448966.853619,603441
448966.861688,603970
448966.869757,604499
448966.877826,605027
448966.885896,605556
448966.893965,606085
448966.902034,606614
448966.910103,607143
448966.918172,607672
448966.926241,608200
448966.934311,608729
448966.942380,609258
448966.958518,610316
448966.966587,610844
448966.974656,611373
448966.982725,611902
448966.998864,612960
448967.006933,613488
448967.015002,614017
448967.023071,614546
448967.031141,615075
448967.039210,615604
448967.047279,616133
448967.055348,616661
448967.063417,617190
448967.071486,617719
448967.079555,618248
448967.087625,618777
448967.103763,619834
448967.111832,620363
448967.119901,620892
448967.127970,621421
448967.136040,621950
448967.144109,622478
448967.152178,623007
448967.160247,623536
448967.168316,624065
448967.176385,624594
448967.184455,625122
448967.192524,625651
448967.200593,626180
448967.208662,626709
448967.216731,627238
448967.224800,627766
448967.232870,628295
448967.240939,628824
448967.249008,629353
448967.257077,629882
448967.265146,630410
448967.273215,630939
448967.281285,631468
448967.289354,631997
448967.297423,632526
448967.305492,633055
448967.313561,633583
448967.321630,634112
448967.329700,634641
448967.337769,635170
448967.345838,635699
448967.361976,636756
448967.370045,637285
448967.378115,637814
448967.386184,638343
448967.394253,638872
448967.402322,639400
448967.410391,639929
448967.418460,640458
448967.426529,640987
448967.434599,641516
448967.442668,642044
448967.450737,642573
448967.458806,643102
448967.466875,643631
448967.474945,644160
448967.483014,644688
448967.491083,645217
448967.499152,645746
448967.507221,646275
448967.515290,646804
448967.523359,647332
448967.531429,647861
448967.539498,648390
448967.547567,648919
448967.555636,649448
448967.563705,649977
448967.571774,650505
448967.579844,651034
448967.587913,651563
448967.595982,652092
448967.604051,652621
448967.612120,653149
448967.620189,653678
448967.628259,654207
448967.636328,654736
448967.644397,655265
448967.652466,655793
448967.660535,656322
448967.668604,656851
448967.676674,657380
448967.684743,657909
448967.692812,658438
448967.700881,658966
448967.708950,659495
448967.717019,660024
448967.725089,660553
448967.733158,661082
448967.741227,661610
448967.749296,662139
448967.757365,662668
448967.765434,663197
448967.773504,663726
448967.781573,664255
448967.789642,664783
448967.797711,665312
448967.805780,665841
448967.813849,666370
448967.821918,666899
448967.829988,667427
448967.838057,667956
448967.846126,668485
448967.854195,669014
448967.862264,669543
448967.870334,670071
448967.878403,670600
448967.886472,671129
448967.894541,671658
448967.902610,672187
448967.910679,672715
448967.918748,673244
448967.926818,673773
448967.934887,674302
448967.942956,674831
448967.951025,675360
448967.959094,675888
448967.967163,676417
448967.975233,676946
448967.983302,677475
448967.991371,678004
448967.999440,678532
448968.007509,679061
448968.015578,679590
448968.023648,680119
448968.031717,680648
448968.039786,681177
448968.047855,681705
448968.055924,682234
448968.063993,682763
448968.072063,683292
448968.080132,683821
448968.088201,684349
448968.096270,684878
448968.104339,685407
448968.120478,686465
448968.128547,686993
448968.136616,687522
448968.144685,688051
448968.152754,688580
448968.160823,689109
448968.168893,689638
448968.176962,690166
448968.185031,690695
448968.193100,691224
448968.201169,691753
448968.209238,692282
448968.217308,692810
448968.225377,693339
448968.233446,693868
448968.241515,694397
448968.249584,694926
448968.257653,695454
448968.265722,695983
448968.273792,696512
448968.281861,697041
448968.289930,697570
448968.297999,698099
448968.306068,698627
448968.314137,699156
448968.322207,699685
448968.330276,700214
448968.338345,700743
448968.346414,701271
448968.354483,701800
448968.362552,702329
448968.370622,702858
448968.378691,703387
448968.386760,703915
448968.394829,704444
448968.402898,704973
448968.410967,705502
448968.419037,706031
448968.427106,706560
448968.435175,707088
448968.443244,707617
448968.451313,708146
448968.459382,708675
448968.467452,709204
448968.475521,709732
448968.483590,710261
448968.491659,710790
448968.499728,711319
448968.507797,711848
448968.515867,712376
448968.523936,712905
448968.532005,713434
448968.540074,713963
448968.548143,714492
448968.556212,715020
448968.564282,715549
448968.572351,716078
448968.580420,716607
448968.588489,717136
448968.596558,717665
448968.604627,718193
448968.612696,718722
448968.620766,719251
448968.628835,719780
448968.636904,720309
448968.644973,720837
448968.653042,721366
448968.661112,721895
448968.669181,722424
448968.677250,722953
448968.685319,723482
448968.693388,724010
448968.701457,724539
448968.709526,725068
448968.717596,725597
448968.725665,726126
448968.733734,726654
448968.741803,727183
448968.749872,727712
448968.757941,728241
448968.766011,728770
448968.774080,729298
448968.782149,729827
448968.790218,730356
